Date,month_num,month,year,Value
201002,02,Feb,2010,3.65
201003,03,Mar,2010,2.19
201004,04,Apr,2010,3.47
201005,05,May,2010,1.07
201006,06,Jun,2010,0.26
201007,07,Jul,2010,0.07
201008,08,Aug,2010,0.1
201009,09,Sep,2010,0.16
201010,10,Oct,2010,3
201011,11,Nov,2010,2.6
201012,12,Dec,2010,8.13
201101,01,Jan,2011,1.28
201102,02,Feb,2011,3.34
201103,03,Mar,2011,6.41
201104,04,Apr,2011,1.1
201105,05,May,2011,1.44
201106,06,Jun,2011,0.92
201107,07,Jul,2011,0.22
201108,08,Aug,2011,0.1
201109,09,Sep,2011,0.28
201110,10,Oct,2011,1.54
201111,11,Nov,2011,1.69
201112,12,Dec,2011,0.47
201201,01,Jan,2012,3.12
201202,02,Feb,2012,1.22
201203,03,Mar,2012,4.74
201204,04,Apr,2012,2.48
201205,05,May,2012,0.2
201206,06,Jun,2012,0.32
201207,07,Jul,2012,0.26
201208,08,Aug,2012,0.3
201209,09,Sep,2012,0.1
201210,10,Oct,2012,0.99
201211,11,Nov,2012,3.57
201212,12,Dec,2012,6.15
201301,01,Jan,2013,1.19
201302,02,Feb,2013,0.58
201303,03,Mar,2013,1.33
201304,04,Apr,2013,0.71
201305,05,May,2013,0.62
201306,06,Jun,2013,0.38
201307,07,Jul,2013,0.28
201308,08,Aug,2013,0.38
201309,09,Sep,2013,0.77
201310,10,Oct,2013,0.26
201311,11,Nov,2013,0.99
201312,12,Dec,2013,0.44
201401,01,Jan,2014,0.54
201402,02,Feb,2014,4.02
201403,03,Mar,2014,3.28
201404,04,Apr,2014,1.06
201405,05,May,2014,0.35
201406,06,Jun,2014,0.06
201407,07,Jul,2014,0.22
201408,08,Aug,2014,0.45
201409,09,Sep,2014,0.72
201410,10,Oct,2014,1.06
201411,11,Nov,2014,1.84
201412,12,Dec,2014,6.3
201501,01,Jan,2015,0.65
201502,02,Feb,2015,2.86
201503,03,Mar,2015,0.78
201504,04,Apr,2015,1.06
201505,05,May,2015,0.93
201506,06,Jun,2015,0.23
201507,07,Jul,2015,0.66
201508,08,Aug,2015,0.08
201509,09,Sep,2015,0.33
201510,10,Oct,2015,0.9
201511,11,Nov,2015,1.87
201512,12,Dec,2015,4.69
201601,01,Jan,2016,6.39
201602,02,Feb,2016,1.21
201603,03,Mar,2016,4.88
201604,04,Apr,2016,1.52
201605,05,May,2016,0.77
201606,06,Jun,2016,0.27
201607,07,Jul,2016,0.06
201608,08,Aug,2016,0.06
201609,09,Sep,2016,0.1
201610,10,Oct,2016,3.82
201611,11,Nov,2016,2.16
201612,12,Dec,2016,4.49
201701,01,Jan,2017,9.92
201702,02,Feb,2017,7.94
201703,03,Mar,2017,2.45
201704,04,Apr,2017,2.76
201705,05,May,2017,0.43
201706,06,Jun,2017,0.26
201707,07,Jul,2017,0.09
201708,08,Aug,2017,0.27
201709,09,Sep,2017,0.43
201710,10,Oct,2017,0.34
201711,11,Nov,2017,2.98
201712,12,Dec,2017,0.3
201801,01,Jan,2018,3.33
201802,02,Feb,2018,0.57
201803,03,Mar,2018,5.12
201804,04,Apr,2018,2.13
201805,05,May,2018,0.66
201806,06,Jun,2018,0.07
201807,07,Jul,2018,0.22
201808,08,Aug,2018,0.04
201809,09,Sep,2018,0.06
201810,10,Oct,2018,0.7
201811,11,Nov,2018,2.81
201812,12,Dec,2018,2.38
201901,01,Jan,2019,5.23
201902,02,Feb,2019,8.57
201903,03,Mar,2019,4.05
201904,04,Apr,2019,1.22
201905,05,May,2019,2.5
201906,06,Jun,2019,0.09
201907,07,Jul,2019,0.08
201908,08,Aug,2019,0.13
201909,09,Sep,2019,0.61
201910,10,Oct,2019,0.16
201911,11,Nov,2019,1.61
201912,12,Dec,2019,4.87
202001,01,Jan,2020,2.06
202002,02,Feb,2020,0.21
202003,03,Mar,2020,3.19
202004,04,Apr,2020,1.99
202005,05,May,2020,1.2
202006,06,Jun,2020,0.16
202007,07,Jul,2020,0.05
202008,08,Aug,2020,0.1
202009,09,Sep,2020,0.04
202010,10,Oct,2020,0.05
202011,11,Nov,2020,1.19
202012,12,Dec,2020,1.83
202101,01,Jan,2021,3.65
202102,02,Feb,2021,1.39
202103,03,Mar,2021,1.73
202104,04,Apr,2021,0.29
202105,05,May,2021,0.11
202106,06,Jun,2021,0.14
202107,07,Jul,2021,0.29
202108,08,Aug,2021,0.1
202109,09,Sep,2021,0.36
202110,10,Oct,2021,3.66
202111,11,Nov,2021,0.95
202112,12,Dec,2021,6.26
202201,01,Jan,2022,0.45
202202,02,Feb,2022,0.24
202203,03,Mar,2022,1.05
202204,04,Apr,2022,1.72
202205,05,May,2022,0.3
202206,06,Jun,2022,0.43
202207,07,Jul,2022,0.13
202208,08,Aug,2022,0.4
202209,09,Sep,2022,0.83
202210,10,Oct,2022,0.16
202211,11,Nov,2022,2
202212,12,Dec,2022,6.38
202301,01,Jan,2023,8.27
202302,02,Feb,2023,3.36
202303,03,Mar,2023,7.23
202304,04,Apr,2023,0.51
202305,05,May,2023,0.99
202306,06,Jun,2023,0.4
202307,07,Jul,2023,0.02
202308,08,Aug,2023,0.79
202309,09,Sep,2023,0.59
202310,10,Oct,2023,0.45
